GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
841800P;Schlatt, Politische Gemeinde;Steuerertrag [Fr./Einw.];1010;908;686;705;803;783;769;825;740;731;751;734;668;648;693;605;629;591;623;601;544;504;488;531;520;481;443;362;409;333
816502P;Schleinikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1131;1065;1001;1064;1270;1231;1285;1314;1273;1137;855;871;764;824;810;808;823;813;786;754;676;602;657;683;724;767;756;683;651;697
895200PS;Schlieren, Stadt;Steuerertrag [Fr./Einw.];3406;3734;3268;4299;3162;3220;2948;2900;2993;2796;2809;3881;3183;2804;3033;3186;3490;3347;3301;2769;2725;2530;2705;2676;2723;2587;2508;2431;1950;2112
816500P;Schöfflisdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];1193;1200;1209;1164;975;983;1071;1195;1374;1229;1312;1130;1002;898;966;853;861;761;1113;945;835;748;736;816;734;689;754;774;792;800
860300P;Schwerzenbach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1328;1388;1425;1350;1202;1114;1208;1150;1174;1223;1105;1133;1154;1219;1121;1178;1154;1070;872;1167;1207;1020;1020;888;1216;1105;965;1004;841;802
860700PS;Seegräben, Politische Gemeinde;Steuerertrag [Fr./Einw.];2918;3214;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847200PP;Seuzach, Politische Gemeinde;Steuerertrag [Fr./Einw.];2690;2811;2530;2201;2177;2353;2251;2275;2490;2329;2366;2189;2056;1935;1994;1927;1851;2055;;;;;;;;;;;;
817400P;Stadel, Politische Gemeinde;Steuerertrag [Fr./Einw.];963;976;1139;957;970;958;1109;1007;1132;1099;1047;1052;1008;914;953;822;914;935;867;749;778;690;683;720;692;567;570;665;574;610
871200PS;Stäfa, Politische Gemeinde;Steuerertrag [Fr./Einw.];4387;4626;4225;3661;4112;;;;;;;;;;;;;;;;;;;;;;;;;
814300PP;Stallikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];3131;3187;2895;2567;2494;2544;2447;2413;2550;2774;2846;2924;2574;2518;2606;2548;2578;2625;2431;2464;2392;2049;;;;;;;;
847601PS;Stammheim, Politische Gemeinde;Steuerertrag [Fr./Einw.];2855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
