"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Buch am Irchel","24","7","EVP","16","Wahlkreis XVI, Andelfingen","41","4.05","3.05","0","10","4.05","3.05","1","1"
"Buch am Irchel","24","8","AL","16","Wahlkreis XVI, Andelfingen","4","0.4","0.4","0","1","0.4","0.4","0","0"
"Buch am Irchel","24","9","BDP","16","Wahlkreis XVI, Andelfingen","45","4.45","-5.15","0","11","4.45","-5.15","9.6","9.6"
"Buch am Irchel","24","10","EDU","16","Wahlkreis XVI, Andelfingen","61","6.03","0.63","0","15","6.03","0.63","5.4","5.4"
"Buchs","83","1","SVP","18","Wahlkreis XVIII, Dielsdorf","4559","42.77","-6.28","156","414","42.77","-6.28","49.05","49.05"
"Buchs","83","2","SP","18","Wahlkreis XVIII, Dielsdorf","1163","10.91","-0.88","28","106","10.91","-0.88","11.79","11.79"
"Buchs","83","3","FDP","18","Wahlkreis XVIII, Dielsdorf","1310","12.29","-2.4","22","119","12.29","-2.4","14.69","14.69"
"Buchs","83","4","GLP","18","Wahlkreis XVIII, Dielsdorf","1324","12.42","5.63","10","120","12.42","5.63","6.79","6.79"
"Buchs","83","5","Grüne","18","Wahlkreis XVIII, Dielsdorf","686","6.44","2.13","0","62","6.44","2.13","4.31","4.31"
"Buchs","83","6","CVP","18","Wahlkreis XVIII, Dielsdorf","412","3.87","1.4","4","37","3.87","1.4","2.46","2.46"
"Buchs","83","7","EVP","18","Wahlkreis XVIII, Dielsdorf","247","2.32","-1.03","0","22","2.32","-1.03","3.35","3.35"
