GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
810500PP;Regensdorf, Politische Gemeinde;BFS-Nr. / SGEM;96;96;96;96;96;96;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
846200PP;Rheinau, Politische Gemeinde;BFS-Nr. / SGEM;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;;;;;;;;;;;;;
880500PS;Richterswil, Politische Gemeinde;BFS-Nr. / SGEM;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;;;;;;;;
854500PP;Rickenbach, Politische Gemeinde;BFS-Nr. / SGEM;225;225;225;225;225;225;225;225;225;225;;;;;;;;;;;;;;;;;;;;;;;;;
891100PP;Rifferswil, Politische Gemeinde;BFS-Nr. / SGEM;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
842700P;Rorbas, Politische Gemeinde;BFS-Nr. / SGEM;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68
815300P;Rümlang, Politische Gemeinde;BFS-Nr. / SGEM;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97
880300PS;Rüschlikon, Politische Gemeinde;BFS-Nr. / SGEM;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139;139
833200PS;Russikon, Politische Gemeinde;BFS-Nr. / SGEM;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;178;;;;;;;;;;;;
863000P;Rüti, Politische Gemeinde;BFS-Nr. / SGEM;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
841800P;Schlatt, Politische Gemeinde;BFS-Nr. / SGEM;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226
816502P;Schleinikon, Politische Gemeinde;BFS-Nr. / SGEM;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98
895200PS;Schlieren, Stadt;BFS-Nr. / SGEM;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247
816500P;Schöfflisdorf, Politische Gemeinde;BFS-Nr. / SGEM;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
